Title,Authors,Year,Tags,Abstract,URL,Zotero Key
Recognizing Modern Slavery,"Stefan Machura, Fay Short, Victoria Margaret Hill, Catherine Rhian Suddaby, Ffion Elena Goddard, Sophie Elisabeth Jones, Emma Louise Lloyd-Astbury, Luke Richardson & Chernise Alexandra Rouse",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1471863,75NURTEG
Social work interventions for human trafficking victims’ in Nigeria,Solomon Amadasun,,"Mental Health, Public Policy",,https://journals.sagepub.com/doi/10.1177/0020872819901163,ITUMHINX
Mental Health Consequences of Human Trafficking,"Sophia Banu, John Saunders, Cynthia Conner, Jonathan Blassingame, and Asim A. Shah",,"Lived Experience, Social Work",,https://journals.healio.com/doi/full/10.3928/00485713-20210707-01,UXK5QX38
Histories of trauma: A qualitative analysis of lifetime traumatic experiences among emergency department patients,"Sophia Spadafore, Madeline Lane, Jasmine Walker, Elizabeth Jaikaran, Makini Chisolm-Straker",,"Healthcare, Lived Experience, Mental Health",,https://onlinelibrary.wiley.com/doi/10.1111/acem.14346,6IHUCKB8
The Outcomes for Human Trafficking Instrument: Validity and Reliability Testing,"Stacey Cutbush, Samantha Charm, Stephen Tueller, Kathleen Krieger & Deborah Gibbs",,Mental Health,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1928860,AEM57WSD
"(De)Constructing Stereotypes: Media Representations, Social Perceptions, and Legal Responses to Human Trafficking",Silvia Rodríguez-López,,"Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1423447,BCEHZBCJ
Good Versus Evil or “Saying More”: Strategies of Telling in Sex Trafficking Documentary Films,Siobahn Stiles,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1423445,TBVZPKP5
“What We Say Is What You See”: Portrayal by Christian Faith-Based Organizations of Female Survivors of Sexual Exploitation and Trafficking in Cambodia,"Siobhan Miles, Glenn Miles, Jill Reimer, Anjum Umrani & Madeline Stenersen",,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2281871,XHPEFS8X
The Complex Relationship between Police Corruption and Sex Trafficking in Origin Countries,Sofia Jonsson,,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1422090,JQNVWRR3
EU Policymaking and Anti-Human Trafficking Efforts: Inferred Policy Preferences from a New Survey,Sienna Nordquist,,Social Work,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2041339,99A2FIZ6
"“Save the #Talibés”: A State-Led Intervention to Remove Children from the Street in Dakar, Senegal",Shona L. Macleod,,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2263303,WM8D2UVE
"Exploring the Context of Trafficking and Adolescent Sex Industry Involvement in Tijuana, Mexico: Consequences for HIV Risk and Prevention","Shira M. Goldenberg, Jay G. Silverman, David Engstrom, Letza Bojorquez-Chapela, Paula Usita, Maria Luisa Rolon, Steffanie A. Strathdee",,Social Work,,https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC4703414&blobtype=pdf,T4KTQFIZ
Potential Impact of Climate Change on Human Trafficking: A Narrative Review," Sheu, Jessica; Torres, Melissa; Gordon, Mollie; Nguyen, Phuong & Coverdale,  John",,Social Work,,https://journals.lww.com/jonmd/Abstract/2021/05000/Potential_Impact_of_Climate_Change_on_Human.3.aspx?context=FeaturedArticles&collectionId=4,D2DSIAE4
"Sex Workers Perspectives on Strategies to Reduce Sexual Exploitation and HIV Risk: A Qualitative Study in Tijuana, Mexico","Shira M. Goldenberg, David Engstrom, Maria Luisa Rolon, Jay G. Silverman, Steffanie A. Strathdee",,"Lived Experience, Social Work",,https://www.ncbi.nlm.nih.gov/pubmed/24023661,T7J6NARC
Feasibility of a screening tool for sex trafficking in an adult emergency department,"Sheri-Ann O. Kaltiso, V. Jordan Greenbaum, Timothy P. Moran, Anwar D. Osborne, Jessica Korniotes, Grace Marazzi, Michael Clery",,Social Work,,https://onlinelibrary.wiley.com/doi/10.1111/acem.14313,P87HUVX8
Does Anyone Care? —The Prevalence of Forced Labor Among Kenyan Migrant Workers and the Glaring Need for Better Labor Conditions in GCC Countries,"Sheldon Zhang, Nell Compernolle, Kyle Vincent, Sarah Lord & Kareem Kysia",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2024.2303251,IIKGXERH
Between victim and agent: A third-way feminist account of trafficking for sex work,Shelley Cavalieri,,Social Work,,https://www.repository.law.indiana.edu/ilj/vol86/iss4/5/,5J3B7ADX
What are the Human Trafficking Policies of Professional Medical Organizations?,"Shelley Fang, Phuong Nguyen, John Coverdale & Mollie Gordon",,"Healthcare, Public Policy",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1698895,SZ3UZ66J
Counting labour trafficking activities: An empirical attempt at standardized measurement,Sheldon X. Zhang and Li Cai,,Social Work,,https://www.researchgate.net/publication/305287469_Counting_labour_trafficking_activities_an_empirical_attempt_at_standardized_measurement,SP3BUZAG
The Ethical Minefield in Human Trafficking Research - Real and Imagined,Sheldon X. Zhang,,"GAHTS_Category: Not Specified, Geographic_Focus: Global, Methods_Used: Not Specified, Needs Review, Open_Access: Unknown, Target_Audience: Researchers",,https://link.springer.com/chapter/10.1007/978-3-319-21521-1_6,2EPRQ4UT
Human trafficking in the health care setting: recommendations for the physical medicine and rehabilitation provider,"Shayan Bhathena, Mollie Gordon, Carolina Gutierrez, Phuong Nguyen, John Coverdale & Jeannie Harden",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/09638288.2022.2095674?scroll=top&needAccess=true,DXCKHSD3
Progress and Challenges in Human Trafficking Research: Two Decades after the Palermo Protocol,Sheldon X. Zhang,,"Law Enforcement, Public Policy",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.2019528,NETMNKAI
Patriarchy and gender-based violence: Experiences of female sex workers in India,"Sharvari Karandikar, Caren Frost, Lindsay Gezinski",,Lived Experience,,https://www.macrothink.org/journal/index.php/ijsw/article/view/5011/4305,IV4KAK6B
"A qualitative examination of women involved in prostitution in Mumbai, India: The role of family and acquaintances","Sharvari Karandikar, Lindsay B. Gezinski, Jacquelyn C.A. Meshelemiah",,"Lived Experience, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/0020872811425804,K4JRBWK2
Health care among sex-trafficked women and girls in India.,"Sharvari Karandikar, Lindsay Gezinski, Marissa Kaloga",,"Healthcare, Mental Health, Social Work",,https://www.researchgate.net/publication/292137479_Health_care_among_sex-trafficked_women_and_girls_in_India,VTM2BR66
From Client to Pimp: Male Violence Against Female Sex Workers,"Sharvari Karandikar, Moisés Próspero",,"Mental Health, Social Work",,https://journals.sagepub.com/doi/10.1177/0886260509334393,K8JBW6BS
Need For Developing A Sound Prostitution Policy: Recommendations For Future Action,Sharvari Karandikar,,"Lived Experience, Social Work",,https://www.researchgate.net/publication/239532336_Need_For_Developing_A_Sound_Prostitution_Policy_Recommendations_For_Future_Action,FV4JA54Z
"Intimate Partner Violence and HIV Risks among Female Sex Workers of Mumbai, India",Sharvari Karandikar & Lindsay B. Gezinski,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/15313204.2013.785349,6QFIEBP7
"‘Without Us, Sex Workers will Die Like Weeds’: Sex Work and Client Violence in Kamathipura",Sharvari Karandikar & Lindsay B. Gezinski,,"Lived Experience, Public Policy, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/097152151201900301?journalCode=ijgb,Q5Z7KRAJ
“These girls gave me AIDS. Why should I use condoms?” Clients of Sex Workers in Kamathipura Express Their Attitudes About HIV,Sharvari Karandikar & Lindsay B. Gezinski,,"Lived Experience, Mental Health",,https://www.tandfonline.com/doi/abs/10.1080/15381501.2012.678123,QIT42C29
Exploring patriarchy in sex workers' intimate relationships a case study from Mumbai,"Sharvari Karandikar, Caren Frost",,Lived Experience,,https://www.researchgate.net/publication/288770135_Exploring_patriarchy_in_sex_workers'_intimate_relationships_a_case_study_from_Mumbai,66PS58DM
Evaluating Policies Against Human Trafficking Worldwide: An Overview and Review of the 3P Index,Seo-Young Cho,,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1014660,4X624GV5
The Demographic Characteristics of Federal Trafficking Defendants: Who are the Offenders?,Shana M. Judge & Yuka Kawahito Doherty,,Public Policy,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2104572,D5PQIRJJ
Primary Care Clinician’s Knowledge of Trafficking in Persons: A Systematic Review,Sharda Ram & Deana Goldin,,Social Work,,https://journals.sagepub.com/doi/10.1177/10436596211070285,BVENHVSE
Familial Violence and Human Trafficking: Stories From India,Sharon Menezes,,"Lived Experience, Mental Health, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/S1530-353520220000020012/full/html,SZSM96FJ
The Impact of an Educational Human Trafficking Panel on Occupational Therapy Students’ Knowledge and Self-Efficacy,"Sarbinaz Bekmuratova, Andrea Thinnes, Yongyue Qi, Arduizur Carli Richie Zavaleta & Ashlynn York",,"Mental Health, Social Work",,https://encompass.eku.edu/cgi/viewcontent.cgi?article=1790&context=jote,VV28BPX3
"Human Trafficking: An Evaluation of Doctoral Occupational Therapy Students’ Awareness, Knowledge, Self-efficacy, and Future Training","Sarbinaz Bekmuratova, Arduizur Carli Richie-Zavaleta & Catherine Boyle",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1980713,VK4AC2VD
Access to Compensation for Trafficked Persons in Canada,Sasha Baglay,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1738144,G2NX6ACJ
"Conspiracy Theories and Human Trafficking: Coercive Power, Normative Ambiguity and Epistemic Uncertainty",Scott Watson,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2023.2193926,GW73GAZ9
“A condom is compulsory”: A qualitative study of condom use and negotiation strategies among female sex workers in Nepal,"Sarah Huber-Krum, Sharvari Karandikar & Lindsay Gezinski",,Lived Experience,,https://www.tandfonline.com/doi/full/10.1080/03630242.2020.1766641,2BMXXRRF
Moving forward: Collaborative accompaniment of human trafficking survivors by using trauma-informed practices,Sarah K. Ladd & Laurel Neufeld Weaver,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1346445,SUPE447I
A very lucrative liquid: the emerging trade in human milk as a form of reproductive exploitation and violence against women,"Sarah Louise Steele, Eduardo E. Hernandez-Salazar",,"Lived Experience, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/IJHRH-07-2019-0058/full/html,ZNBCDSE6
Fierce Autonomy: How Girls and Young Women Impacted by Commercial Sexual Exploitation Perceive Health and Exercise Agency in Health Care Decision-Making,"Sarah M. Godoy, Laura S. Abrams, Elizabeth S. Barnert, Mikaela A. Kelly, Eraka P. Bath",,"Lived Experience, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/1049732320913857,A2K9RCFT
Diversity in Sex Work in India: Challenging Stereotypes Regarding Sex Workers,"Sameena Azhar, Satarupa Dasgupta, Sunny Sinha, Sharvari Karandikar",,Lived Experience,,https://www.researchgate.net/publication/340164565_Diversity_in_Sex_Work_in_India_Challenging_Stereotypes_Regarding_Sex_Workers,5PNW56WU
"Freeing the Modern Slaves, One Click at a Time: Theorising human trafficking, modern slavery, and technology","Sanja Milivojevic, Heather Moore, Marie Segrave",,"Lived Experience, Public Policy, Social Work",,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/442/352,CC59KEBN
Simulating a Multi-agency Approach for the Protection of Trafficked Persons in Migration and Displacement Settings,Sarah Elliott & Megan Denise Smith,,"Lived Experience, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1690107,2NXIZAUQ
Restorative Justice in Cases of Seafood Slavery,"Sallie Yea, Christina Stringer & Sunil Rao",,"Lived Experience, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2128597,SP2E74UR
Complex post-traumatic stress disorder in asylum seekers and victims of trafficking: treatment considerations,"Sally Jowett, Angeliki Argyriou, Odile Scherrer, Thanos Karatzias, Cornelius Katona",,Healthcare,,https://www.cambridge.org/core/journals/bjpsych-open/article/complex-posttraumatic-stress-disorder-in-asylum-seekers-and-victims-of-trafficking-treatment-considerations/A8721B0A4EE9F8BBF87F8831B0891FDC,JX6E9JWP
"Same Same but Different? Gender, sex work, and respectability politics in the MyRedBook and Rentboy closures",Samantha Majic,,Lived Experience,,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/446/360,UMUNKJWJ
Supply Chains and Unfree Labor: Regulatory Failure in the Case of Samsung Electronics in Slovakia,Rutvica Andrijasevic & Tonia Novitz,,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1691817,E5VFMDBK
Evaluating the Criminal Justice Approach to Human Trafficking in Taiwan,Ryan Goehrung,,Needs Review,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1636192,RIDUG9GA
"The figure of the trafficked victim: gender, rights, and representatoin",Rutvica Andrijasevic,,"Lived Experience, Mental Health, Social Work",,https://www.researchgate.net/publication/303516633_The_Figure_of_the_Trafficked_Victim_Gender_Rights_and_Representation,PJPRQZ6F
Anti-Trafficking Efforts and Civil Conflicts,Saadet Ulasoglu Imamoglu,,"Law Enforcement, Public Policy",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1940777,HZ5DUF88
Human trafficking: Review of education resources for health professionals,"Roy Ahn, Elaine J Alper, Genevieve Purcell, Wendy L Marcias-Konstantopoulos, Anita McGahan, Elizabeth Cafferty, Melody Eckardt, Kathryn L Conn, Kate Cappetta, Thomas F. Burke",,Public Policy,,https://pubmed.ncbi.nlm.nih.gov/23415126/,AVM6VAJ7
"Mental Healthcare for Survivors of Modern Slavery and Human Trafficking: A Single Point-in-Time, Internet-Based Scoping Study of Third Sector Provision","Runa Lazzarino, Nicola Wright & Melanie Jordan",,"Lived Experience, Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2021.2024043,XNV5ARAF
Investigating human trafficking from the Andean Community to Europe: the role of goodwill in the researcher-gatekeeper relationship and in negotiating access to data,Ruth Van Dyke,,Social Work,,https://www.tandfonline.com/doi/abs/10.1080/13645579.2013.823280,IEMP8BZD
The investigation and prosecution of traffickers: Challenges and opportunities,Rosemary Broad and Julia Murasziewicz,,Needs Review,,https://link.springer.com/referenceworkentry/10.1007%2F978-3-319-63058-8_43,TUNDWG4D
An Ecological Approach toward the Prevention and Care of Victims of Domestic Minor Sex Trafficking,Rosario V. Sanchez & Dula F. Pacquiao,,"Lived Experience, Mental Health, Social Work",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7357858/,NFRU559G
A Concept Analysis of Trauma Coercive Bonding in the Commercial Sexual Exploitation of Children,"Rosario V. Sanchez, Patricia M. Speck, Patricia A. Patrician",,"Lived Experience, Social Work",,https://www.pediatricnursing.org/article/S0882-5963(18)30288-4/fulltext,ZI2CQUE6
"Age at Entry into Prostitution: Relationship to Drug Use, Race, Suicide, Education Level, Childhood Abuse, and Family Experiences","Ross J. Clarke, Elizabeth A. Clarke, Dominique Roe-Sepowitz & Richard Fey",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/10911359.2012.655583,XKUMATQ6
The Hard Truth About Human Trafficking,Rosario Sanchez & Sharon W Stark,,Mental Health,,https://www.researchgate.net/publication/259270280_The_Hard_Truth_About_Human_Trafficking,3IXNNV69
Young men doing business: Male bar prostitution in Berlin and Prage,Ronald Weitzer and Graham Ellison,,Social Work,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3055637,IE9EBZCM
Trauma-coerced Attachment and Complex PTSD: Informed Care for Survivors of Human Trafficking,"Ronald Chambers, Matthew Gibson, Sarah Chaffin, Timothy Takagi, Nancy Nguyen & Toussaint Mears-Clark",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2021.2012386,PUSQ38UE
Resistance to sex work stigma,Ronald Weitzer,,Social Work,,https://www.researchgate.net/publication/312576737_Resistance_to_Sex_Work_Stigma_2018,8XEKHS37
"“You Just Give them what they Want and Pray they don't Kill You”: Street-Level Sex Workers' Reports of Victimization, Personal Resources, and Coping Strategies","Rochelle L. Dalla, Yan Xia, Heather Kennedy",,"Lived Experience, Social Work",,https://journals.sagepub.com/doi/10.1177/1077801203255679,MD9QNBKB
"Use of femal sex workers among men in Nepal: Prevalence, STIs/HIV-related risk behaviors, and gender ideology","Roman Shrestha, Pramila Karki, and Michael Copenhaver",,Public Policy,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4922505/,UASCFU5P
"Sex Trafficking Related Knowledge, Awareness, and Attitudes among Adolescent Female Students in Nepal: A Cross-Sectional Study","Roman Shrestha, Pramila Karki, Asha Suwal, Micheal M. Copenhaver",,"Lived Experience, Social Work",,https://www.ncbi.nlm.nih.gov/pubmed/26177534,EHTDI6FT
Trauma Informed Care: Trafficking Out-Comes (TIC TOC Study),"Ronald Chambers, Jordan Greenbaum, Jennifer Cox, Terri Galvan",,"Mental Health, Social Work",,https://journals.sagepub.com/doi/10.1177/21501319221093119,76EAXRPW
Et Tú Brutè?: A Qualitative Analysis of Streetwalking Prostitutes' Interpersonal Support Networks,Rochelle Dalla,,Lived Experience,,https://journals.sagepub.com/doi/10.1177/019251301022008006,UKXRQU5T
Exposing the “pretty woman” myth: A qualitative examination of the lives of female streetwalking prostitutes,Rochelle Dalla,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/00224490009552057,FRGB4RDS
"Children of Mumbai's Brothels: Investigating Developmental Prospects, Primary Relationships, and Service Provision","Rochelle Dalla, Sarah Erwin & Lee M. Kreimer",,"Lived Experience, Mental Health",,https://www.researchgate.net/publication/329966782_Children_of_Mumbai's_Brothels_Investigating_Developmental_Prospects_Primary_Relationships_and_Service_Provision,Z8F99T4T
"Structural Vulnerabilities, Personal Agency, and Caste: An Exploration of Child Sex Trafficking in Rural India","Rochelle L. Dalla, Trupti Jhaveri Panchal, Sarah Erwin, Jessie Peter, Kaitlin Roselius, Ramani Ranjan, Mrinalini Mischra, Sagar Sahu",,"Lived Experience, Mental Health, Social Work",,https://www.researchgate.net/publication/342573659_Structural_Vulnerabilities_Personal_Agency_and_Caste_An_Exploration_of_Child_Sex_Trafficking_in_Rural_India,VFTEZ4CE
“I Fell Off [the Mothering] Track”: Barriers to “Effective Mothering” Among Prostituted Women,Rochelle Dalla,,"Lived Experience, Mental Health",,https://www.researchgate.net/publication/227703475_I_Fell_Off_the_Mothering_Track_Barriers_to_Effective_Mothering_Among_Prostituted_Women,C2B5BX6K
When the Bough Breaks ... : Examining Intergenerational Parent-Child Relational Patterns Among Street-Level Sex Workers and Their Parents and Children,Rochelle Dalla,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1207/S1532480XADS0704_1,FCGHS3AG
Night Moves: A Qualitative Investigation of Street-Level Sex Work,Rochelle Dalla,,Lived Experience,,https://journals.sagepub.com/doi/abs/10.1111/1471-6402.00044,C8TSCANK
“After Your Honor is Gone...”: Exploration,Rochelle Dalla,,"Lived Experience, Mental Health, Social Work",,http://web.b.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=1&sid=21c36528-8f9e-4008-8a39-81d1e8639ae7%40sessionmgr102,JPZ28UKB
Exiting Prostitution: An Integrated Model. .,Rochelle Dalla,,"Lived Experience, Mental Health, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/1077801210367643,UAXFCAQ5
“You can't Hustle All Your Life”: An Exploratory Investigation of the Exit Process Among Street-Level Prostituted Women,Rochelle Dalla,,Lived Experience,,https://journals.sagepub.com/doi/10.1111/j.1471-6402.2006.00296.x,AT7HB6UN
"Exploring the experiences of wellbeing, health, and healthcare among women who have been domestically sex trafficked in Ontario, Canada: A qualitative study protocol","Rhonelle Bruder, Robin Mason, Charmaine C. Williams, Janice Du Mont",,"Healthcare, Mental Health, Social Work",,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0299500,PXTUX6VI
Identifying Victims of Human Trafficking in Central Pennsylvania: A Survey of Health-Care Professionals and Students,"Risha Sinha, Elahe Tashakor & Casey Pinto",,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1448956,3BJM4W22
"Cultural perspectives on child trafficking, human rights & social justice: A model for psychologists",Rita Chi-Ying Chung,,"Healthcare, Mental Health, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/09515070902761230,U6ZV72WD
Understanding the Banking System as a Tool used by the Oppressors to Oppress the Bonded Laborers into Brick Kilns through Labor Trafficking in India,Resham Sethi,,Social Work,,http://ijsrd.com/Article.php?manuscript=IJSRDV7I100136,SANS4AXN
The indenture of migrant domestic workers,Rhacel Salazar Perrenas,,"Public Policy, Social Work",,https://muse.jhu.edu/article/653246/pdf,ERR4NDN8
Human Trafficking Survivors’ Self-Reported Satisfaction and Performance in Daily Life Activities,Rebecca Wangberg & Shana Cerny,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2063641,2MVHCW99
"Human Trafficking in India a Trenchant Prevention and Management through Collaborative, Participatory and Empowerment Approach",Resham Sethi,,Social Work,,http://www.ijsrd.com/articles/IJSRDV5I70251.pdf,SSNJSN8T
A Scoping Review of Human Trafficking Screening and Response,"Rebecca J. Macy, L. B. Klein, Corey A. Shuck, Cynthia Fraga Rizo, Tonya B. Van Deinse, Christopher J. Wretman, Jia Luo",,"Public Policy, Social Work",,https://journals.sagepub.com/doi/10.1177/15248380211057273,3B8TC79J
The Feminist Ethic of Care: Mothering Among Sex Workers in Mumbai,"Rebecca J. McCloskey, Sharvari Karandikar, Rebecca Reno, Megan España",,Social Work,,https://journals.sagepub.com/doi/abs/10.1177/0886109920939053,W9XXZHMP
Better together: A transdisciplinary approach to disrupt human trafficking,"Rebecca Pfeffer, Kelle Barrick & Terri Galvan",,"Lived Experience, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/15564886.2023.2214814,HPPPFBBF
"Gendered outcomes in prostitution arrests in Houston, Texas. Crime & Delinquency","Rebecca Pfeffer, Pablo Ormachea, and David Eagleman",,Public Policy,,https://journals.sagepub.com/doi/abs/10.1177/0011128717748576?journalCode=cadc,5DQUG84M
A Multisite Field Placement Approach for Social Work Interns in the Antitrafficking Arena: An Innovative Model at a Midwestern University,"Raven E. Lynch, Jacquelyn C. A. Meshelemiah & Kaitlin Casassa",,Public Policy,,https://www.tandfonline.com/doi/abs/10.1080/10437797.2020.1714520?journalCode=uswe20,3XW59QCS
"Inside the Crime of Sex Trafficking in Sabah, Malaysia",Ravi Mahalingam & Jatswan S. Sidhu,,"Law Enforcement, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1710069,HK64N4VU
The Determinants of Human Trafficking in the European Union,Rachel Tallmadge & Robert Jeffrey Gitter,,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1336368,TDV7MKUZ
The importance of maintaining medical professionalism while experiencing vicarious trauma when working with human trafficking victims," Ramirez,  J.,  Gordon,  M.,  Reissinger,  M.,  Shah,  A.,  Coverdale,  J., & Nguyen, P. T",,Mental Health,,https://doi.apa.org/doiLanding?doi=10.1037%2Ftrm0000248,F3MQ6EBI
Assessing Family Medicine Residency Programs’ Training on Human Trafficking: A National Survey of Program Directors,"Ranit Mishori, Katherine Stolarz, Anita Ravi, Valeriy R. Korostyshevskiy, Ronald Chambers & Peter Cronholm",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1780082,4X96ADBE
Framing Human Trafficking: A Content Analysis of Recent U.S. Newspaper Articles,"Rachealle Sanford, Daniel E. Martínez & Ronald Weitzer",,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1107341,WUUNZ6FN
Educating Physicians on Sex Trafficking: Who Receives Our Empathy and Whom Do We Blame?,"Rachel J Shin, Austin M Oberlin, Fidelma Rigby & Fay Chelmow",,"Mental Health, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1808776,8QMM6NJM
Legislative discrepancies: an analysis of Missouri’s current human trafficking laws and the need to improve its legal protection of victims,"Rachel Kappler, Arduizur Carli Richie-Zavaleta",,"Public Policy, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/IJHRH-08-2019-0063/full/html,FJ58N585
Mental Health Service Needs of Commercially Sexually Exploited Youth: Voices of Survivors and Stakeholders,"Rachel Robitz, Emilio Ulloa, Marissa Salazar, Monica Ulibarri",,"Lived Experience, Social Work",,https://connect.springerpub.com/content/sgrvv/35/3/354,UGJ6I4GV
Laypeople’s Knowledge and Misconceptions of Sex Trafficking Influenced by Training Formats,"Quincy C. Miller, Kristina Todorovic, Christina O. Perez, Amy L. Capparelli & Kamala London",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1865767,SUR4PTXN
Identification of skin signs in human-trafficking survivors,"Raaga Rambhatla, Marielle Jamgochian, Cristina Ricco, Rohan Shah, Hira Ghani, Channi Silence, Babar Rao, Arianne Shadi Kourosh",,Social Work,,https://www.sciencedirect.com/science/article/pii/S2352647521001192?via%3Dihub,9A4CPFUD
Sex Trafficking Knowledge and Training: Implications From Environmental Scanning in the American Midwest," Preble, Kathleen; Tlapek, Sarah & Koegler,  Erica",,"Lived Experience, Social Work",,https://connect.springerpub.com/content/sgrvv/35/3/363.abstract,DQV67ZUT
Modern-day Slavery in our Health Care System: An Advocacy Journey,Preeti Panda & Anjali Garg,,"Lived Experience, Mental Health, Social Work",,https://publications.aap.org/pediatrics/article/144/4/e20192370/38451/Modern-day-Slavery-in-our-Health-Care-System-An?autologincheck=redirected,GFG9JEM5
Barriers to the access and utilization of healthcare for trafficked youth in the United States,"Preeti Panda, Anjali Garg, Sara Lee, Ashwini R Sehgal",,"Lived Experience, Social Work",,https://pubmed.ncbi.nlm.nih.gov/34419901/,A63PVAIP
Responsibly Including Survivors’ Voices in the Planning and Implementing of Educational Programmes for Healthcare Providers,"Preeti Panda, Annette Mango, Anjali Garg",,"Mental Health, Social Work",,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/582,MQGIV9U2
Understanding Health Care Utilization and Occupational Exposures of Labor-Trafficked People,"Philip DeCicco, Jaya Prakash, Meredith Rapkin, Kate Brown, Hanni Stoklosa",,"Public Policy, Social Work",,https://muse.jhu.edu/pub/1/article/903051/pdf,93K3PJWW
"Health Services to Meet Physical, Mental, and Social Needs of 126 Females Who Survived Boko Haram Abduction and Captivity: Providers' Perspective","Philip Eappen, Lana Ivanitskaya, Ye Ra Jeong, Melinda Cruz",,"Mental Health, Social Work",,https://muse.jhu.edu/article/847229,NPMUA44B
“Petites Bonnes” minors sex trafficked in Morocco and Spain,"Patricia Melgar, Guiomar Merodio, Elena Duque, Mimar Ramis-Salas",,"Lived Experience, Public Policy, Social Work",,https://www.sciencedirect.com/science/article/pii/S0190740920321423,X5TZ8UUZ
"Use of ICD-10 Codes for Human Trafficking: Analysis of Data From a Large, Multisite Clinical Database in the United States",Patrick Kerr & Gavin Bryant,,"Healthcare, Public Policy",,https://journals.sagepub.com/doi/full/10.1177/00333549221095631,PE36CE9Z
They Just Have to Adopt These Conventions’: Anti-child Trafficking Policies and Politics in Nigeria,Peter Olayiwola,,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2022.2139587,ETGNVTM3
Modern Slavery and freedom: Exploring contradictions through labour scandals in the Thai fisheries,"Peter Vandergeest, Melissa Marschke",,"Lived Experience, Social Work",,https://onlinelibrary.wiley.com/doi/10.1111/anti.12575,RV7PZNXC
